Player 	 Play Ids
IAUN 12	3008041,3009493,3009068,3011118,3011229,3009051,3009551,3011277,3009734,3009633,3167299,3165844,3165196,3167363,3167200,3169458,3167346,3168552,3167277,3169541,3167822,3169665,3167792,3169438,3164951,3168939,3168077,3166769,3165655,3167166,3165615,3165230,3169383,3169027,3165419,3166908,3064435,3064914,3059663,3068472,3068508,3058839,3068377,3057204,3068603,3057174,3024054,3022793,3023822,3023887,3024584,3022140,3022560,3023882,3022296,3022309,3023996,3024041,3021965,3022871,3022742,3023528,3136148,3134337,3133961,3134371,3136096,3134061,3136157,3135202,3134802,3135937,3134522,3135943,3134363,3135510,3134411,3135926,3134817,3134683,3134700,3136167,3134715,3135961,3133944,3135544,3134668,3134834,3134735,3136159,3135968,3135752,3135196,3136107,3134730,3134279,3135161,3136129,3135822,3181892,3180700,3182024,3180862,3182564,3180834,3182402,3180690,3180650,3181403,3182706,3182427,3182178,3181204,3181873,3181930,3181926,3182038,3181213,3181885,3110162,3109833,3110799,3109918,3111510,3110123,3111105,3110724,3110836,3109666,3110136,3109849
IAUN 03	3008041,3012992,3011509,3009493,3007988,3009582,3008773,3009551,3011207,3012875,3013278,3009734,3012802,3009633,3167346,3168552,3167822,3166225,3169483,3169027,3069290,3068549,3057204,3067515,3063214,3022560,3023344,3024529,3134709,3135722,3136157,3135540,3135732,3135741,3134700,3135356,3134695,3134668,3134834,3134279,3135984,3182207,3180834,3180811,3181930,3109685,3109666,3110136
IAUN 06	3012992,3011509,3009068,3011118,3011229,3008368,3009051,3011207,3010208,3012875,3012802,3165844,3165196,3165285,3166191,3167200,3169458,3167346,3169584,3167277,3169541,3169665,3167792,3164951,3169470,3167229,3168939,3167259,3168077,3169078,3166769,3165655,3167166,3165615,3169383,3169027,3168590,3168634,3166908,3064798,3067389,3059663,3068377,3068603,3057289,3067515,3066271,3024054,3023887,3024584,3022140,3023882,3022582,3023996,3024041,3022803,3136148,3134337,3133961,3134371,3136096,3134061,3135202,3134802,3135282,3135732,3135937,3134522,3135943,3134683,3135356,3136167,3134715,3135961,3134695,3134735,3136159,3135968,3135196,3136107,3135290,3135161,3136129,3135822,3180862,3181392,3182207,3182402,3180650,3181403,3182706,3182178,3181863,3181873,3181930,3181213,3182580,3110162,3110123,3111496,3110724,3110376,3111809,3110836,3109611,3109849
IAUN 05	3013036,3011277,3057174,3024791,3024783,3022296,3135282,3134411,3112015
IAUN 89	3009493,3009068,3011118,3008773,3011277,3008012,3009734,3012802,3009633,3167299,3167363,3169458,3167346,3167277,3169541,3169665,3167845,3169438,3164951,3165419,3166908,3066436,3067515,3023822,3135540,3135741,3135926,3182038,3110799,3110836
IAUN 39	3166908,3133961,3134709,3134668,3135822,3182609,3181204,3110610,3110853
IAUN 42	3058839,3110825
IAUN 81	3024791,3024783,3025056,3024926
IAUN 10	3022350
IAUN 15	3134389,3135984
IAUN 19	3112075
IAUN 18	3112025
