Player 	 Play Ids
INPU 12	2997647,2997104,2996842,2997873,3021942,3023917,3183286,3183312,3183246

INPU 04	2996923,3113229,3065733,3069919,3070406,3062918,3065837,3023589,3024963,3023909,3022883,3024933,3023917

INPU 10	2996872,3117046,3116162,3115860,3115842,3112952,3116137,3115143,3117057,3113503,3065881,3069370,3063910,3062918,3135951,3134636,3135611,3134914,3135311,3135471,3135306,3134826,3134661,3133853,3135614,3158045,3158698,3158114,3158138,3157768,3157189,3025002,3023589,3024963,3023621,3024257,3022841,3024990,3024101,3024933,3181090,3183190,3180903,3183210,3181981,3182975,3208072,3206763,3206715,3206327,3207183,3205691

INPU 89	2996872,3113663,3064650,3064586,3134651,3134661,3134241,3157332,3157319,3156907,3025002,3024963,3022246,3022236,3022282,3182113,3181851,3183246

INPU 01	2996981

INPU 87	2996897,3116656,3113229,3156862,3183190,3183210,3208072

INPU 03	3117046,3115860,3115842,3115143,3113245,3113680,3114394,3117057,3113229,3067557,3065881,3135611,3134506,3134914,3135306,3134826,3134651,3135793,3134661,3133853,3158298,3158384,3156862,3156754,3158698,3157500,3157339,3157319,3158114,3158138,3158349,3157488,3157363,3025002,3023589,3024963,3024990,3024933,3181043,3183286,3183336,3181090,3180971,3180945,3183312,3181513,3181574,3181004,3183190,3183210,3183246,3180930,3182975,3206245,3207549,3208072,3206750,3205817,3206259,3206541,3207997,3206552,3206327,3207183,3205691

INPU 17	3116162,3113904,3113245,3116574,3113680,3114394,3113663,3070406,3158384,3156862,3157332,3157500,3158075,3158534,3157319,3157189,3158349,3157581,3157488,3156907,3157363,3023662,3025244,3022246,3022572,3023643,3181837,3181808,3180930,3206245,3206259

INPU 33	3113904,3065733,3134106,3134661,3158698,3024339,3022273,3183190,3183210,3183246,3182975,3206245,3206032,3206715,3206327,3205691

INPU 40	3113680

INPU 15	3134506

INPU 22	3182975

INPU 25	3207997

