Player 	 Play Ids
INUN 03	3084829,3082957,3083506,3083492,3083251,3027867,3027446,3026190,3028508,3026790,3025825,3028557,3028707,3026211,3186402,3186839,3187840,3186496,3186999,3186954,3183925,3055308,3054028,3054733,3053234,2999736,2998911,2999452,3001216,3115833,3116503,3115487,3116518,3212774,3217163,3216466,3210812,3214534,3209471,3216409,3212690,3213980,3216487,3214077,3210597,3213318,3214661,3211756,3210696,3217756,3157245,3158664,3157925,3156806,3157220,3158754

INUN 15	3083506,3083492,3084035,3027116,3025851,3026190,3028508,3027101,3026211,3187929,3188545,3185247,3187992,3187840,3186812,3185960,3183918,3189225,3183925,3187029,3055090,3054793,3053872,3053307,3055233,3054257,3053234,3054262,3001389,2999304,3000532,3001476,2999002,3116402,3116549,3116524,3116518,3113407,3212774,3210743,3209495,3216466,3210812,3210645,3209471,3209856,3216409,3217105,3216036,3213318,3158727,3157576,3157788,3156806,3157623

INUN 06	3084035,3028577,3029020,3027116,3025967,3027101,3029052,3186402,3185247,3186496,3186351,3055194,3053307,3054291,3053439,3053471,3053896,3054065,3001844,3000590,2999984,3000167,2999002,3116503,3116402,3116549,3116657,3114985,3217803,3211756,3157795,3157245,3157895,3158478,3157788,3157220,3157880,3157609,3157662,3158782

INUN 01	3084017,3188027,3186999,3055194,3001560,3217163,3209495,3213359,3216466,3210645,3209471,3209856,3216409,3209581,3213980,3217105,3214077,3213318,3214035,3158055,3158429,3157377,3158478,3157623

INUN 13	3029079,3028914,3028824,3030348,3028577,3029020,3025967,3029781,3026814,3026790,3029052,3029294,3029301,3028707,3055783,3054793,3055742,3055587,3053428,3212774,3209495,3214231,3212566,3159025,3156990,3158314,3158366

INUN 25	3029079,3030348,3029781,3029301

INUN 84	3028824

INUN 86	3028452,3025825,3190358,3186812,3189225,3186351,3053872,3054733,3001216,3116402,3116549,3115487,3217803,3216466,3209581,3213954,3214661,3209416,3157925,3157609

INUN 89	3026814,3054744,3055171

INUN 08	3186999,3210743,3212566,3214661

INUN 23	3054304,3216375

INUN 10	3209642

